dataset,folder,scenario_idx,track_id,start,end,intensity,PET,two/multi,vehicle_type,AV_included,key_agents,pre_int_i,post_int_i,pre_int_j,post_int_j,path_category,path_relation,turn_label,priority_label,original_data_file,original_scene_id,original_track_id
nuplan_train,train_vegas3,2400,7b8ddaad5b9856e5;b13cc47dc841561e,204,224,0.35324348,0.982963648,two,"['HV', 'HV']",all_HV,7b8ddaad5b9856e5;b13cc47dc841561e,50,7,50,3,MP,P-M,S-S,equal,2021.06.10.14.11.49_veh-12_03807_04497.db,5a24d5d54bc05835,7b8ddaad5b9856e5;b13cc47dc841561e
nuplan_train,train_vegas3,4000,1fe61c52847a5cb8;2b28efeda75a5117,225,229,0.342916718,1.183681195,two,"['HV', 'HV']",all_HV,1fe61c52847a5cb8;2b28efeda75a5117,50,50,50,50,MP,P-M,S-S,1fe61c52847a5cb8,2021.06.10.17.22.51_veh-47_03337_04002.db,de489568c6875cfb,1fe61c52847a5cb8;2b28efeda75a5117
nuplan_train,train_vegas3,401,aada732ae8175b5e;e3d66381c8685c89,127,134,0.150225532,1.434248782,two,"['HV', 'HV']",all_HV,aada732ae8175b5e;e3d66381c8685c89,50,50,50,50,MP,P-M,S-S,aada732ae8175b5e,2021.06.10.11.53.36_veh-26_03346_04002.db,b058b12dd004576f,aada732ae8175b5e;e3d66381c8685c89
nuplan_train,train_vegas3,4010,1adfb583d03f5f75;6e7fef272c345758,104,148,0.77554385,0.531468373,two,"['HV', 'HV']",all_HV,6e7fef272c345758;1adfb583d03f5f75,50,11,50,3,MP,P-M,S-S,6e7fef272c345758,2021.06.10.17.22.51_veh-47_03337_04002.db,bbfa176eff685b22,1adfb583d03f5f75;6e7fef272c345758
nuplan_train,train_vegas3,5704,7092bfa016bf5f45;73484d42611e569b,116,135,0.56919892,1.059986334,two,"['HV', 'HV']",all_HV,7092bfa016bf5f45;73484d42611e569b,50,3,50,4,MP,P-M,S-S,7092bfa016bf5f45,2021.06.11.11.57.05_veh-12_02593_02741.db,e825ce316a615f9d,7092bfa016bf5f45;73484d42611e569b
nuplan_train,train_vegas3,10181,942cb3c6e28e51d2;d3c505cde8f45d29,205,218,1.542466739,0.883256711,two,"['HV', 'HV']",all_HV,d3c505cde8f45d29;942cb3c6e28e51d2,50,50,50,50,MP,P-P,S-S,942cb3c6e28e51d2,2021.06.12.11.57.54_veh-38_05507_05644.db,e55d8171a044513a,942cb3c6e28e51d2;d3c505cde8f45d29
nuplan_train,train_vegas3,10181,1c427782348852f7;942cb3c6e28e51d2,295,307,0.143621722,1.426851568,two,"['HV', 'HV']",all_HV,942cb3c6e28e51d2;1c427782348852f7,50,50,50,7,MP,P-M,S-S,942cb3c6e28e51d2,2021.06.12.11.57.54_veh-38_05507_05644.db,e55d8171a044513a,1c427782348852f7;942cb3c6e28e51d2
nuplan_train,train_vegas3,730,79510d29080f5ef1;ego,204,216,0.559062476,1.018596973,two,"['HV', 'AV']",AV,79510d29080f5ef1;ego,50,50,50,50,MP,P-M,S-S,equal,2021.06.10.11.57.14_veh-38_02098_02431.db,071832419cdc5346,79510d29080f5ef1;ego
nuplan_train,train_vegas3,730,346c24e616605fa6;9a91032331555ea4,206,224,1.264409265,0,two,"['HV', 'HV']",all_HV,9a91032331555ea4;346c24e616605fa6,50,50,50,50,MP,P-P,S-S,346c24e616605fa6,2021.06.10.11.57.14_veh-38_02098_02431.db,071832419cdc5346,346c24e616605fa6;9a91032331555ea4
nuplan_train,train_vegas3,730,346c24e616605fa6;9a91032331555ea4;e5e64fa4866e56f4,207,213,1.389313523,1.486940766,multi,"['HV', 'HV', 'HV']",all_HV,9a91032331555ea4;346c24e616605fa6,50,50,50,50,MP,P-P,S-S,346c24e616605fa6,2021.06.10.11.57.14_veh-38_02098_02431.db,071832419cdc5346,346c24e616605fa6;9a91032331555ea4;e5e64fa4866e56f4
nuplan_train,train_vegas3,730,79510d29080f5ef1;e5e64fa4866e56f4;ego,217,236,1.011597621,0.987616361,multi,"['HV', 'HV', 'AV']",AV,ego;e5e64fa4866e56f4,50,50,50,50,MP,P-P,S-S,equal,2021.06.10.11.57.14_veh-38_02098_02431.db,071832419cdc5346,79510d29080f5ef1;e5e64fa4866e56f4;ego
nuplan_train,train_vegas3,730,9a91032331555ea4;e5e64fa4866e56f4;ego,238,242,0.927136923,1.822330551,multi,"['HV', 'HV', 'AV']",AV,ego;e5e64fa4866e56f4,50,50,50,50,MP,P-P,S-S,equal,2021.06.10.11.57.14_veh-38_02098_02431.db,071832419cdc5346,9a91032331555ea4;e5e64fa4866e56f4;ego
nuplan_train,train_vegas3,731,9a91032331555ea4;e5e64fa4866e56f4,17,28,0.26836408,1.330287172,two,"['HV', 'HV']",all_HV,e5e64fa4866e56f4;9a91032331555ea4,50,50,50,50,MP,P-M,S-S,equal,2021.06.10.11.57.14_veh-38_02098_02431.db,02f63b3704925c7a,9a91032331555ea4;e5e64fa4866e56f4
nuplan_train,train_vegas3,11300,65b83e5d90e253d4;92eaa6a233005bba,297,339,0.920776647,0,two,"['HV', 'HV']",all_HV,92eaa6a233005bba;65b83e5d90e253d4,50,47,50,18,MP,P-M,S-S,92eaa6a233005bba,2021.06.12.13.57.31_veh-38_02282_02865.db,e200d76c99345dc0,65b83e5d90e253d4;92eaa6a233005bba
nuplan_train,train_vegas3,11300,65b83e5d90e253d4;92eaa6a233005bba;f338d6255e9a5c0c,285,296,0.611370449,1.503846536,multi,"['HV', 'HV', 'HV']",all_HV,92eaa6a233005bba;65b83e5d90e253d4,50,47,50,18,MP,P-M,S-S,92eaa6a233005bba,2021.06.12.13.57.31_veh-38_02282_02865.db,e200d76c99345dc0,65b83e5d90e253d4;92eaa6a233005bba;f338d6255e9a5c0c
nuplan_train,train_vegas3,13001,7e64c4524e635518;d4188cdd3b8455e5,60,66,2728.720364,0,two,"['HV', 'HV']",all_HV,7e64c4524e635518;d4188cdd3b8455e5,50,9,35,50,F,F,S-S,equal,2021.06.12.19.12.40_veh-35_00183_00303.db,8644f82c9f9b5c15,7e64c4524e635518;d4188cdd3b8455e5
nuplan_train,train_vegas3,13007,259d3e9327535209;9ef5e68ebffa5524,198,222,1.163373486,0.843738093,two,"['HV', 'HV']",all_HV,259d3e9327535209;9ef5e68ebffa5524,50,12,50,12,MP,P-M,S-L,259d3e9327535209,2021.06.12.19.12.40_veh-35_00391_00460.db,9e47c3d359eb50b4,259d3e9327535209;9ef5e68ebffa5524
nuplan_train,train_vegas3,13007,259d3e9327535209;330678b9a053520f;9ef5e68ebffa5524,177,197,1.124414324,1.607135058,multi,"['HV', 'HV', 'HV']",all_HV,259d3e9327535209;9ef5e68ebffa5524,50,12,50,12,MP,P-M,S-L,259d3e9327535209,2021.06.12.19.12.40_veh-35_00391_00460.db,9e47c3d359eb50b4,259d3e9327535209;330678b9a053520f;9ef5e68ebffa5524
